D:\Tools\Projects\contentvec\dataset
spk_001\0000.wav	83221
spk_001\0002.wav	86193
spk_001\0003.wav	106998
spk_001\0004.wav	87679
spk_001\0005.wav	59444
spk_001\0006.wav	99568
spk_001\0008.wav	77277
spk_001\0010.wav	81735
spk_001\0011.wav	118887
spk_001\0013.wav	112942
spk_001\0014.wav	114428
spk_001\0015.wav	96596
spk_001\0016.wav	52013
spk_001\0017.wav	52013
spk_001\0018.wav	68360
spk_001\0020.wav	49041
spk_001\0021.wav	111456
spk_001\0022.wav	62416
spk_001\0023.wav	106998
spk_001\0024.wav	59444
spk_001\0025.wav	66874
spk_001\0028.wav	120373
spk_001\0029.wav	78763
spk_001\0030.wav	111456
spk_001\0031.wav	68360
spk_001\0032.wav	49041
spk_001\0033.wav	66874
spk_001\0034.wav	102540
spk_001\0035.wav	71332
spk_001\0036.wav	52013
spk_001\0037.wav	83221
spk_001\0038.wav	130775
spk_001\0039.wav	115915
spk_001\0040.wav	74304
spk_001\0042.wav	57958
spk_001\0043.wav	62416
spk_001\0045.wav	52013
spk_001\0046.wav	77277
spk_001\0047.wav	98082
spk_001\0048.wav	75790
spk_001\0049.wav	101054
spk_001\0050.wav	111456
spk_001\0051.wav	56471
spk_001\0052.wav	56471
spk_001\0053.wav	74304
spk_001\0054.wav	81735
spk_001\0055.wav	77277
spk_001\0056.wav	104026
spk_001\0057.wav	102540
spk_001\0058.wav	74304
spk_001\0059.wav	63902
spk_001\0060.wav	83221
spk_001\0061.wav	66874
spk_001\0062.wav	75790
spk_001\0063.wav	80249
spk_001\0064.wav	95109
spk_001\0065.wav	87679
spk_001\0066.wav	60930
spk_001\0068.wav	63902
spk_001\0069.wav	66874
spk_001\0070.wav	121859
spk_001\0071.wav	87679
spk_001\0072.wav	84707
spk_001\0073.wav	57958
spk_001\0074.wav	123345
spk_001\0075.wav	96596
spk_001\0076.wav	108484
spk_001\0077.wav	109970
spk_001\0078.wav	104026
spk_001\0079.wav	60930
spk_001\0080.wav	68360
spk_001\0081.wav	56471
spk_001\0082.wav	101054
spk_001\0083.wav	87679
spk_001\0084.wav	92137
spk_001\0085.wav	120373
spk_001\0086.wav	50527
spk_001\0087.wav	80249
spk_001\0090.wav	74304
spk_001\0091.wav	96596
spk_001\0092.wav	62416
spk_001\0093.wav	95109
spk_001\0095.wav	46069
spk_001\0096.wav	86193
spk_001\0097.wav	62416
spk_001\0098.wav	136720
spk_001\0099.wav	108484
spk_001\0101.wav	102540
spk_001\0102.wav	74304
spk_001\0103.wav	83221
spk_001\0104.wav	129289
spk_001\0105.wav	74304
spk_001\0106.wav	93623
spk_001\0107.wav	65388
spk_001\0108.wav	104026
spk_001\0109.wav	101054
spk_001\0110.wav	65388
spk_001\0111.wav	74304
spk_001\0112.wav	69846
spk_001\0113.wav	108484
spk_001\0114.wav	66874
spk_001\0115.wav	60930
spk_001\0116.wav	78763
spk_001\0117.wav	99568
spk_001\0118.wav	68360
spk_001\0119.wav	74304
spk_001\0120.wav	105512
spk_001\0121.wav	53499
spk_001\0122.wav	60930
spk_001\0123.wav	50527
spk_001\0125.wav	59444
spk_001\0127.wav	50527
spk_001\0128.wav	104026
spk_001\0129.wav	63902
spk_001\0130.wav	106998
spk_001\0132.wav	56471
spk_001\0133.wav	69846
spk_001\0135.wav	68360
spk_001\0137.wav	68360
spk_001\0138.wav	87679
spk_001\0139.wav	63902
spk_001\0140.wav	75790
spk_001\0141.wav	63902
spk_001\0142.wav	101054
spk_001\0143.wav	74304
spk_001\0144.wav	95109
spk_001\0145.wav	56471
spk_001\0146.wav	74304
spk_001\0147.wav	136720
spk_001\0148.wav	65388
spk_001\0149.wav	66874
spk_001\0150.wav	92137
spk_001\0151.wav	101054
spk_001\0152.wav	57958
spk_001\0153.wav	60930
spk_001\0154.wav	69846
spk_001\0155.wav	75790
spk_001\0156.wav	63902
spk_001\0157.wav	65388
spk_001\0158.wav	78763
spk_001\0159.wav	53499
spk_001\0161.wav	50527
spk_001\0162.wav	71332
spk_001\0163.wav	124831
spk_001\0164.wav	89165
spk_001\0166.wav	63902
spk_001\0167.wav	80249
spk_001\0168.wav	120373
spk_001\0169.wav	77277
spk_001\0170.wav	90651
spk_001\0171.wav	105512
spk_001\0172.wav	95109
spk_001\0173.wav	84707
spk_001\0174.wav	57958
spk_001\0175.wav	111456
spk_001\0177.wav	83221
spk_001\0178.wav	95109
spk_001\0179.wav	92137
spk_001\0180.wav	117401
spk_001\0181.wav	50527
spk_001\0182.wav	108484
spk_001\0184.wav	78763
spk_001\0185.wav	108484
spk_001\0186.wav	99568
spk_001\0187.wav	101054
spk_001\0188.wav	72818
spk_001\0189.wav	104026
spk_001\0190.wav	135234
